Rank,Release Group,Worldwide,year,Domestic %,Foreign %,Domestic (in $),Foreign (in $)
189,Lucy,458863600,2014,0.27603758502526676,0.7239624149747332,126663600,332200000
190,The Last Samurai,454627263,2003,0.24443598535356645,0.7555640146464335,111127263,343500000
191,Ocean's Eleven,450717150,2001,0.4069451317749946,0.5930548682250054,183417150,267300000
192,"My People, My Country",450064993,2019,0.005236317057878794,0.9947636829421213,2356683,447708310
193,Thor,449326618,2011,0.40289316668081304,0.597106833319187,181030624,268295994
194,Pearl Harbor,449220945,2001,0.44197083018914,0.55802916981086,198542554,250678391
195,La La Land,446171671,2016,0.33866292465708786,0.6613370753429121,151101803,295069868
196,Men in Black II,441818803,2002,0.43098845433248795,0.569011545667512,190418803,251400000
197,Les Misérables,441809770,2012,0.33681864934765926,0.6631813506523407,148809770,293000000
198,Terminator Genisys,440603537,2015,0.20372273134974855,0.7962772686502514,89760956,350842581
199,Warcraft,439048914,2016,0.10788157877097038,0.8921184212290296,47365290,391683624
200,A Star Is Born,436188866,2018,0.4935679995096436,0.5064320004903564,215288866,220900000
201,The Greatest Showman,434993183,2017,0.4007882900546513,0.5992117099453488,174340174,260653009
202,Terminator 3: Rise of the Machines,433371112,2003,0.34698000821060726,0.6530199917893927,150371112,283000000
203,The Mummy Returns,433013274,2001,0.46654409259518453,0.5334559074048155,202019785,230993489
204,Pokémon Detective Pikachu,433005346,2019,0.3328026947731957,0.6671973052268043,144105346,288900000
205,Die Another Day,431971116,2002,0.37257615854111875,0.6274238414588812,160942139,271028977
206,The Secret Life of Pets 2,430051293,2019,0.36943126921374003,0.63056873078626,158874395,271176898
207,Cast Away,429632142,2000,0.5437957712204875,0.4562042287795125,233632142,196000000
208,Rampage,428028233,2018,0.2360317035441912,0.7639682964558088,101028233,327000000
209,The Matrix Revolutions,427343298,2003,0.32600007687496246,0.6739999231250375,139313948,288029350
210,The Intouchables,426588510,2011,0.023907863810021513,0.9760921361899785,10198820,416389690
211,Bad Boys for Life,425514702,2020,0.48040139163041184,0.5195986083695882,204417855,221096847
212,Django Unchained,425368238,2012,0.38273998727662406,0.6172600127233759,162805434,262562804
213,The King's Speech,423999102,2010,0.3194656365097679,0.6805343634902321,135453143,288545959
214,The Captain,416953262,2019,0.001694607200362903,0.9983053927996371,706572,416246690
215,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,2010,0.25111958427045944,0.7488804157295406,104386950,311299267
216,Jason Bourne,415484914,2016,0.39095140287091146,0.6090485971290885,162434410,253050504
217,The Wolverine,414828246,2013,0.3195463502743253,0.6804536497256747,132556852,282271394
